Memory:,Graphics Card:,CPU:,File Size:,OS:,name
 4 GB, NVIDIA GeForce 510 , Intel Core 2 Duo E8400 , 2 MB, 7-10,Endersite System Requirements
4 GB,NVIDIA GeForce 256,Intel Core i3-2340UE,1 GB,Debian or Ubuntu,Darkwinds System Requirements
 2 GB, NVIDIA GeForce 7200 GS , Intel Core 2 Duo E6700 , 1 GB, Window 7 SP1+,MechCorp System Requirements
 6 GB, NVIDIA GeForce GTX 780 , Intel Core i5-2500K , 23 GB, 64-bit Windows 10,Trail Breaking System Requirements
 8 GB, NVIDIA GeForce GTX 1050 , Intel Core i5-4400E , 10 GB, Windows 8,Hidden Protector System Requirements
 200 MB, NVIDIA GeForce 8400 , Intel Pentium 4 2.00GHz , 10 MB, Windows 7 or newer,Falling Slime System Requirements
 4 GB, AMD Radeon HD 6850 , Intel Core i5-760 , 3 GB, Windows 7/8.1/10 x64,HyperParasite System Requirements
 2 GB, ATI FireGL T2-128 , Intel Core 2 Duo Q6867 , 50 MB, Windows XP/Vista/7/8,Point System Requirements
4 GB,NVIDIA GeForce 510,Intel Core 2 Duo E8400,Unknown,Ubuntu 12.04,The Hero Project: Open Season System Requirements
 4 GB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 369 MB, Windows XP SP2+,Double Cross System Requirements
 1 GB, Intel HD 4000 , Intel Pentium 4 2.00GHz , 2 GB, Windows 7 SP1+,King of Peasants System Requirements
 512 MB, ATI FireGL T2-128 , Intel Pentium III 1133 @ 1133MHz , 600 MB, Windows® 95/98,Mobile Forces System Requirements
 2 GB, NVIDIA GeForce 6100 , Intel Core 2 Duo U7600 , 400 MB," 7,8,10",Abnormal world: season one System Requirements
 4 GB, ATI FireGL V7350 , Intel Core i5 750S , 1 GB," Windows 10, Windows 8, Windows 7 32-bit",Bitcoin Trader System Requirements
 8 GB, NVIDIA GeForce GTX 770 , Intel Core 2 Quad Q9705 , 11 GB, Windows 7 or Newer,Photonic Distress System Requirements
 2 GB, ATI FireMV 2400 PCIe , Intel Pentium 4 2.00GHz , 1 GB," Windows XP, Vista, 7, 8, 10",Red Riding Hood - Star Crossed Lovers System Requirements
 512 MB, ATI FireGL T2-128 , Intel Atom Z510 , Unknown," Windows XP, Vista, 7, 8, 10",Around the World in 80 Days System Requirements
 4 GB, ATI FireGL T2-128 , Intel Core i5-4400E , 2 GB, Windows 7,Coin-Op Kingdom System Requirements
 4 GB, ATI Radeon HD 4850 , Intel Core i3-2100T , 260 MB, Windows Vista 32-bit newer,Tactical Mind System Requirements
 2 GB, NVIDIA GeForce 6800 , AMD Athlon 64 3500+ , 2 GB, Windows XP/VISTA/7/8/10,The Royal Marines Commando System Requirements
 1 GB, NVIDIA GeForce 7100 / nForce 630i , Intel Core 2 Duo Q6867 , 6 GB, Windows 7 or later,Mary Skelter: Nightmares System Requirements
 4 GB, NVIDIA GeForce GTX 970 , Intel Core i5-4400E , 500 MB, Windows10,Beginner'sGame System Requirements
 2 GB, Intel HD 3000 , Intel Pentium 4 2.00GHz , 1 GB, Windows 7+,Heartbreak High: A Break-Up Simulator System Requirements
 1 GB, Intel HD 4000 , Intel Core 2 Duo Q6867 , 1 GB," Windows 7, 8, 10",Qinoto System Requirements
 8 GB, NVIDIA GeForce GTX 960 , Intel Core i3-6100 , 1 GB, Windows 7/8/10 (64-bit),TapSonic World Champion VR System Requirements
 2 GB, NVIDIA GeForce 8500 GT , Intel Pentium 4 3.00GHz , 500 MB, Windows 7 and above,Gun Done: WHO IS AWESOME System Requirements
 8 GB, NVIDIA GeForce GTX 1060 , Intel Core i5-4590 , Unknown," 8, 10",Basketball Hero VR System Requirements
 8 MB, NVIDIA GeForce GTX 970 , Intel Core i5-4590 , 1 GB," Windows 7 SP1, Windows 8.1 or later, Windows 10",Humble Pie System Requirements
 4 GB, ATI FireGL T2-128 , Intel Atom Z510 , 200 MB, Microsoft® Windows® XP/Vista/7/8/8.1/10,Call of Bitcoin System Requirements
 4 GB, ATI FireGL T2-128 , Intel Core 2 Duo Q6867 , 1 GB, 7,Achievement Lurker: Ballad of the Shimapan Warrior - King of Panties System Requirements
 4 GB, Intel HD 4400 , Intel Core i3-4170 , 1 GB, Windows Vista,Dynamite Bunny: Catch The Carrot System Requirements
 4 GB, NVIDIA GeForce 256 , Intel Core i5-4400E , 2 GB, Windows 7\8\10,Dark Ghost RPG System Requirements
 4 GB, AMD Radeon HD 6250 , Intel Core 2 Duo T7250 , 1 GB, Windows 8/8.1/10 (64bit),Pixel Game Maker MV / アクションゲームツクールMV System Requirements
 4 GB, NVIDIA GeForce 920M , Intel Core 2 Duo E8400 , 2 GB," Windows 7, 64 bit",Hard Way To Heaven System Requirements
 512 MB, ATI FireMV 2400 PCIe , Intel Pentium 4 2.00GHz , 512 MB, Windows Vista or greater,Bouncy Butter Ball System Requirements
 4 GB, NVIDIA GeForce 9800 GTX+ , Intel Core 2 Duo Q6867 , 1 GB, Windows 7 and Above,Batbarian System Requirements
 2 GB, Intel Media Accelerator 500 , Intel Pentium 4 2.00GHz , 100 MB, Windows 7/8/10 - 64bits,MineSweep System Requirements
 4 GB, NVIDIA GeForce 205 , Intel Core 2 Duo Q6867 , 220 MB," Window 7, 8, 10",Heavy Blade System Requirements
 3.91 GB, AMD Radeon Pro 450 , Intel Core i3-330E , 1.27 GB, Windows 7,Leder Panzer System Requirements
 8 GB, NVIDIA GeForce GTX 960 , Intel Core i5-4590 , 4 GB, Windows 7,Flying Aces - Navy Pilot Simulator System Requirements
 2 GB, NVIDIA GeForce 6100 , Intel Pentium 4 2.00GHz , 300 MB, Windows 7,Crossextion System Requirements
 2 GB, AMD Radeon HD 6990 , Intel Pentium E5700 , 1 GB, Windows 7/8/8.1/10,Fated Kingdom System Requirements
 2 GB, NVIDIA GeForce 7600 GS , Intel Core 2 Duo E6320 , 300 MB, Windows 10,Telophase System Requirements
 4 GB, NVIDIA GeForce GTX 970 , Intel Core i5-4590 , 130 MB, Windows 7,DeoVR Video Player System Requirements
150 MB,ATI FireMV 2400 PCIe,Intel Atom Z510,150 MB,Unknown,My zero trip System Requirements
 3 GB, NVIDIA GeForce GT 745M , Intel Core i5-4200M , 60 MB," Windows 8, 10",Lost Borderline System Requirements
 2 GB, ATI FireGL V7350 , Intel Pentium 4 2.00GHz , 500 MB, Windows 7 or higher,Blind Mind System Requirements
 60 MB, NVIDIA GeForce 510 , Intel Core 2 Duo E8400 , Unknown, Windows 7 or newer,Tharn System Requirements
 4 GB, NVIDIA GeForce GTX 970 , Intel Core i5-4590 , 310 MB," Windows 7 SP1, Windows 8.1 or later, Windows 10",Shopkeeper Simulator VR System Requirements
1 GB,NVIDIA GeForce 7800 GTX,Intel Core 2 Duo Q6867,200 MB,Linux Kernel 3.0,Doodle Tanks System Requirements
 8 GB, NVIDIA GeForce GTX 970 , Intel Core i5-4590 , Unknown, Windows 7 or higher,Roller Coaster Apocalypse VR System Requirements
1 GB,NVIDIA GeForce 7800 GTX,Intel Core 2 Duo Q6867,200 MB,Linux Kernel 3.0,Doodle God: Genesis Secrets System Requirements
256 MB,NVIDIA GeForce 8500 GT,Intel Pentium 4 2.00GHz,200 MB,"SteamOS, Ubuntu 14.04",NetHack: Legacy System Requirements
1 GB,NVIDIA GeForce 510,Intel Core 2 Duo Q6867,Unknown,Ubuntu 16.04 LTS+ or equivalent,TANGLEWOOD System Requirements
 1 GB, NVIDIA GeForce 7200 GS , Intel Core 2 Duo Q6867 , 5 MB, Windows 10,Slamoids! System Requirements
 4 GB, NVIDIA GeForce GTX 970 , Intel Core i5-4570 , 600 MB, Windows 7 +,BARRAGE / 铁幕 System Requirements
 4 GB, NVIDIA GeForce 510 , Intel Core 2 Duo E8400 , Unknown, windows 7,Space Challenge System Requirements
 5 GB, AMD Radeon RX 470 , Intel Core i3-6100 , Unknown, Windows 10 or newer,Transpose System Requirements
 2 GB, NVIDIA GeForce GT 640 , AMD FX-6300 , Unknown, Windows 7,Above the Fold System Requirements
 4 GB, Intel Iris Pro Graphics 6200 , Intel Core 2 Duo Q6867 , 25 GB, Windows 7 (64-bit),Dreadnought System Requirements
 8 GB, NVIDIA GeForce GTX 1060 , AMD FX-6300 , 20 GB, Windows 7,Tony Slopes System Requirements
 4 GB, NVIDIA GeForce 256 , Intel Core i5-4400E , 1.27 GB, Windows 7,HyperFighter Boost Mode ON System Requirements
 2 GB, NVIDIA GeForce 8500 GT , Intel Core 2 Duo T7250 , 237 MB, Windows XP or higer,Cyber Fight System Requirements
 2 GB, NVIDIA GeForce 7800 GTX , Intel Core i5-4400E , 1 GB, Windows 10,Datascape System Requirements
 8 GB, NVIDIA GeForce GTX 970 , Intel Core i5-4590 , 5 GB, Windows 7 - 64 bit,2260 VR System Requirements
 2 GB, ATI FireGL V7350 , Intel Atom Z515 , 700 MB, Windows 7,City Sweeper - Clean it Fast! System Requirements
 1 GB, NVIDIA GeForce 9600 GT , Intel Pentium 4 2.00GHz , 130 MB, Windows XP and newer,Intelligence: Dinosaurs System Requirements
2 GB,ATI FireGL T2-128,Intel Atom Z515,290 MB,"Ubuntu 12.04+, SteamOS+, (a few issues with Linux Mint right now)",Tactics Maiden Remastered System Requirements
 4 GB, AMD Radeon HD 5450 , Intel Core 2 Duo Q6867 , 500 MB, WIndows XP,Rising Lords System Requirements
256 MB,NVIDIA GeForce 6200,Intel Pentium 4 2.00GHz,200 MB,Ubuntu 12 +,Circle UP System Requirements
 4 GB, NVIDIA GeForce 510 , Intel Pentium 4 1.50GHz , 420 MB, Windows XP SP2+,Dust and Salt: The Battle for Murk System Requirements
 4 GB, NVIDIA GeForce GTX 560 , Intel Core 2 Duo Q6867 , 3 GB," Windows 10, Windows 8, Windows 7 64-bit",Armory League System Requirements
 4 GB, AMD Radeon HD 2400 , Intel Pentium 4 2.00GHz , 200 MB, Windows 10,All You Can Feed: Sushi Bar System Requirements
 4 GB, NVIDIA GeForce GTX 650 , Intel Core 2 Duo Q6867 , 7 GB," Windows Vista, Windows 7, Windows 8, Windows 10",Techwars Deathmatch System Requirements
 4 GB, NVIDIA GeForce GTX 760 , AMD Athlon X4 860K , 2.44 GB," Windows 7 SP1, Windows 8.1, Windows 10 (64-bit versions only)",Ancient Rush 2 System Requirements
 1 GB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 300 MB, ,魔物娘物语 System Requirements
 1 GB, ATI FireMV 2200 PCIe , AMD Athlon 64 FX-25 , 100 MB, Windows 7,Dodge Show System Requirements
 512 MB, Intel HD 3000 , Intel Core 2 Duo E8400 , 200 MB, Windows XP and newer,Good Boy! System Requirements
 500 MB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 15 MB," Windows 7, Windows 10",Noonie System Requirements
 8 GB, NVIDIA GeForce GTX 1060 , Intel Core i5-4590 , 2 GB, Windows 7,Fightttris VR System Requirements
1.46 GB,AMD Radeon HD 6250,Intel Pentium 4 2.00GHz,1.17 GB,Ubuntu 10.7 or higher,Aura of Worlds System Requirements
 8 GB, AMD Radeon R7 260X , Intel Core i5-4460 , 7 GB, Windows 10,Dominance System Requirements
 1 GB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 20 MB, WINDOWS XP / WINDOWS VISTA / WINDOWS 7 / WINDOWS 8 / WINDOWS 10,Knight Fighter System Requirements
 1 GB, ATI FireGL T2-128 , Intel Atom Z510 , 270 MB," Windows Vista, 7, 8, 10",Avalon Legends Solitaire 3 System Requirements
 2 GB, NVIDIA GeForce GTX 460 , Intel Core i3-2340UE , 2 GB, Windows 7,Rift Keeper System Requirements
 1 GB, ATI FireGL T2-128 , Intel Atom Z515 , 1.27 GB," windows 7, windows 8 , windows 10",Formula X System Requirements
1 GB,NVIDIA GeForce 510,Intel Pentium 4 2.00GHz,30 MB,Ubuntu 14.04 or later (or equivalent),DotLine System Requirements
 1 GB, ATI FireGL V7350 , Intel Core 2 Duo Q6867 , 500 MB, Windows 7,Curling World Cup System Requirements
2 GB,NVIDIA GeForce 7200 GS,Intel Pentium 4 2.00GHz,600 MB,"Ubuntu 12.04, SteamOS.",RECOG The First Wave System Requirements
 8 GB, AMD Radeon R7 370 , Intel Core i5-4430 , 1 GB," 64-bit Windows 7, Windows 8.1, Windows 10",Bullet Hell ADVANCED System Requirements
 4 GB, NVIDIA GeForce 9800 GTX+ , Intel Pentium 4 2.20GHz , 1 GB, WinXP,"HUMAN LIVE-HOW LONG CAN HUMAN BEINGS EXIST?Survive the end of the earth, challenge disaster save the world System Requirements"
 1 GB, AMD Radeon HD 5450 , Intel Pentium 4 2.00GHz , 200 MB, Window XP,Cowboy : Attack of Wild Animal System Requirements
 1 GB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 5 GB, WIN7 SP1/WIN8/WIN10/XP,Eternal Fantasy System Requirements
 4 GB, NVIDIA GeForce GTX 970 , Intel Core i5-4590 , 160 MB," Windows 7 SP!, Windows 8.1 or later, Windows 10",Block Smashers VR System Requirements
2 GB,NVIDIA GeForce GTX 1080,Intel Pentium 4 1.80GHz,2 GB,Linux,Heart of the Woods System Requirements
 1 GB, ATI FireGL V7350 , Intel Pentium 4 1.60GHz , 3 GB," Windows XP, Vista, 7, 10",Odyssee System Requirements
 1000 MB, ATI FireGL T2-128 , Intel Pentium 4 1.60GHz , 500 MB, Microsoft Windows XP/Vista/7 or later,Jungle Juggle System Requirements
 2 GB, NVIDIA GeForce 8500 GT , Intel Core 2 Duo Q6867 , 260 MB, Windows 7\8\10,Hentai PuZZles System Requirements
 1 GB, NVIDIA GeForce 510 , Intel Pentium 4 2.00GHz , 1 GB, windowsXP/7/10,RECOIL System Requirements
 4 GB, NVIDIA GeForce GTX 660M , Intel Pentium 4 2.00GHz , Unknown, Windows 7,The Worst Day Ever System Requirements
 2 GB, NVIDIA GeForce 7200 GS , Intel Pentium 4 4.00GHz , 100 MB, Windows 7,Rhombus Legends System Requirements
 2 GB, NVIDIA GeForce 510 , Intel Core 2 Duo E8400 , 400 MB, Windows 7,The Indie Game Legend 3D System Requirements
 2 GB, NVIDIA GeForce 7200 GS , Intel Core i3-3217U , 4 GB," Windows® 7 & Later, 64-bit",Demon's Rise - Lords of Chaos System Requirements
 8 GB, NVIDIA GeForce GTX 970 , Intel Core i5-4590 , 400 MB, Windows 10,Cave Digger System Requirements
 2 GB, Intel Media Accelerator 500 , Intel Pentium 4 2.00GHz , 100 MB, Windows 7/8/10 - 64bits,Obscurity System Requirements
 3 GB, NVIDIA GeForce GTX 660 , Intel Core i5-4400E , 6 GB, Windows 7,The Goatman System Requirements
 2 GB, NVIDIA GeForce 8500 GT , Intel Core 2 Duo Q6867 , 260 MB, Windows 7\8\10,Vietnam War PuZZles System Requirements
 1 GB, NVIDIA GeForce 510 , Intel Pentium 4 1.60GHz , 300 MB, Windows 7 or higher,Snakelike System Requirements
 2 GB, ATI FireGL V7350 , Intel Core i3-2340UE , 5 GB, Windows 7/8/10,The Adventures of Dumpy System Requirements
 3 GB, NVIDIA GeForce GT 430 , Intel Core i3-530 , 150 MB, Windows XP,Neuro System Requirements
 4 GB, AMD Radeon HD 7770 , Intel Core i3-2100 , 5 GB, Windows 7 or above (64-bit Operating System Required),The Awesome Adventures of Captain Spirit System Requirements
 512 MB, NVIDIA GeForce 6200 , Intel Pentium 4 2.00GHz , 200 MB, Windows XP/7/8/8.1/10,Simple Golfing System Requirements
 512 MB, ATI FireGL T2-128 , Intel Atom Z510 , 500 MB," Windows XP SP2, Windows Vista SP1 or Windows 7/8/10 (Windows Update Recommended)",Last Regiment System Requirements
 4 GB, Intel HD 4000 , Intel Core 2 Duo Q6867 , 2 GB, Windows 7/8/10 64-bit,AegisM System Requirements
 8 GB, NVIDIA GeForce GTX 970 , Intel Core i5-4590 , 6 GB, Windows 7 64 bit SP1 or newer,Drone Striker System Requirements
 8 GB, NVIDIA GeForce GTX 970 , Intel Pentium 4 4.00GHz , 1 GB," Windows XP, Windows 7, Windows 8, Windows 8.1, Windows 10",I am Your President System Requirements
 4 GB, AMD Radeon HD 6570 , Intel Core 2 Duo E4500 , 3 GB, 7,Evergate System Requirements
 1 GB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 5 GB, WIN7 SP1/WIN8/WIN10/XP,Fortissimo FA System Requirements
 4 GB, NVIDIA GeForce GTX 970 , Intel Core i5-4590 , Unknown, Windows 10,VR-X Player Steam Edition System Requirements
 1 GB, ATI FireGL T2-128 , Intel Atom Z515 , 2 GB, WIN7 SP1/WIN8/WIN10/XP,Fox Hime Zero System Requirements
 64 MB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 400 MB," Windows 7, 10",Director of Football System Requirements
 4 GB, NVIDIA GeForce GTX 970 , Intel Core i5-4590 , 1 GB, Windows7 / 8.1 / 10 64bit,Ocean Wonder VR System Requirements
 1 GB, AMD Radeon HD 5450 , Intel Core 2 Duo U7600 , 200 MB, Windows 7 / 8 / 10,Space man adventure dash System Requirements
 3.91 GB, NVIDIA GeForce GTX 460 , Intel Core i3-530 , 3.91 GB, Win 7 64bit / Win 8 / Win 10,Tower Hunter: Erza's Trial System Requirements
 8 GB, NVIDIA GeForce GTX 1080 , Intel Core i5 750S , 2 GB, Windows 10,The Armclaw Experiment System Requirements
 2 GB, NVIDIA GeForce 256 , Intel Pentium 4 2.00GHz , 2 GB, Windows 7 or Newer,Go-Kart Racing System Requirements
 4 GB, Intel HD 3000 , Intel Core 2 Duo E8400 , 500 MB, windows 7/8/10,Piopupu System Requirements
 4 GB, NVIDIA GeForce GTX 650 , Intel Pentium 4 4.00GHz , 300 MB," Windows 7, 8, 10",Vortex Rush System Requirements
 100 MB, ATI FireGL T2-128 , Intel Celeron , 25 MB, Windows XP SP2 or better,Cyadonia System Requirements
 1 GB, NVIDIA GeForce 7200 GS , Intel Atom Z510 , 512 MB, Windows XP/Vista/Windows 7/Windows 8,Hungry Piggy vs Chicken System Requirements
 2 GB, NVIDIA GeForce 7200 GS , Intel Core i3-3217U , 2 GB," Windows® 7 & Later, 64-bit",Demon's Rise - War for the Deep System Requirements
 1 GB, NVIDIA GeForce 7200 GS , Intel Core 2 Duo Q6867 , 250 MB," Windows XP, Vista, 7,8,10",WIN THE GAME: DO IT! System Requirements
 4 GB, NVIDIA GeForce 9800 GT , Intel Core i5 750S , 5 GB, WindowsXP (Service Pack 3),When They Arrived System Requirements
 2 GB, ATI FireGL T2-128 , Intel Pentium 4 4.00GHz , 100 MB, Windows Vista,Card Games Mega Collection System Requirements
 2 GB, NVIDIA GeForce GTX 460 , Intel Core 2 Quad Q9000 , 10 GB, Windows XP,Space Orb System Requirements
 4 GB, NVIDIA GeForce 8500 GT , Intel Core 2 Duo Q6867 , 4 GB," XP, Vista, 7, 8, 10",TheShooterGame System Requirements
 4 GB, Intel HD 3000 , Intel Core i3-330E , 3 GB, Windows 7,完美的一天 / A Perfect Day System Requirements
 8 GB, NVIDIA GeForce GTX 970 , Intel Core i5-6500 , 500 MB, Windows 10,Cortex Protocol System Requirements
 1 GB, ATI FireMV 2400 PCIe , Intel Atom Z515 , 154 MB, Windows XP+,HellStar Squadron System Requirements
 2 GB, Intel HD 5000 , Intel Core i3-330E , 1000 MB, Windows 7/8/8.1/10,Kemonomichi-White Moment- System Requirements
 4 GB, NVIDIA GeForce GTX 760 , Intel Core i7-920 , 9 GB," 64-bit Windows 7, Windows 8.1, Windows 10",Infected Battlegrounds System Requirements
 2 GB, NVIDIA GeForce 8800 GTX , Intel Core i3-530 , 1 GB," Windows7,Windows8 or Windows10",Dissimilated Land System Requirements
 1 GB, NVIDIA GeForce GTX 650 , Intel Core i3-530 , 1 GB, Windows 10,El Taco Diablo System Requirements
 4 GB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 115 MB, Windows 7,Rogue Agent System Requirements
 4 GB, NVIDIA GeForce GTX 760 , AMD Phenom II X4 965 , 25 GB, Windows 7,Sophont System Requirements
 4 GB, NVIDIA GeForce 510 , Intel Core 2 Duo E8400 , Unknown, Windows 10,Project R.A.T. System Requirements
 4 GB, Intel HD 4000 , Intel Core 2 Duo Q6867 , 2 GB, Windows 7 or newer 64-bit,WEscape System Requirements
 2 GB, NVIDIA GeForce 7200 GS , Intel Core 2 Duo Q6867 , 100 MB," Windows XP, Vista, 7, 8, or 10",GhostGame System Requirements
 1 GB, ATI FireGL T2-128 , Intel Atom Z510 , 1 GB, Windows 8,Forest Below System Requirements
 1 GB, ATI FireGL V7350 , Intel Core 2 Duo Q6867 , 1 GB, Windows 7,Sniper Squad Mission System Requirements
 8 GB, ATI Radeon HD 3870 , Intel Core 2 Duo E4400 , Unknown, Windows 7 64bit,GameMaster: MAGUS System Requirements
 1 GB, AMD Radeon HD 6750 , Intel Core 2 Duo Q6867 , 378 MB, Windows 7,Demolition Engineer System Requirements
1000 MB,ATI FireGL T2-128,Intel Core 2 Duo Q6867,400 MB,Ubuntu 12.04 or SteamOS,Titty Crush System Requirements
 2 GB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 200 MB," Windows 7, 8.1, 10",Chocolate makes you happy 5 System Requirements
 500 MB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 500 MB, Win 7 32-bit or higher,Trivia Vault: Soccer Trivia System Requirements
 1 GB, NVIDIA GeForce GTX 780 , Intel Core i7-610 , 700 MB, Windows 7,Piano Simulator System Requirements
 4 MB, NVIDIA GeForce 8500 GT , Intel Core 2 Quad Q9000 , 1.46 GB, Windows 7 and up,Trials of The Illuminati: Snack Time Jigsaw Puzzles System Requirements
 4 GB, NVIDIA GeForce 7100 / nForce 630i , Intel Pentium 4 2.00GHz , Unknown, Windows 7 SP1+,Reality Blender System Requirements
4 GB,ATI FireGL T2-128,Intel Pentium 4 2.20GHz,120 MB,Ubuntu 14.04 LTS,Desert Child System Requirements
 256 MB, NVIDIA GeForce 6200 , Intel Core 2 Duo U7600 , 100 MB, Windows 7,ROGALIK System Requirements
 512 MB, NVIDIA GeForce GT 730 , Intel Core i3-330E , 1 GB, Windows XP,Codename Ghost Hunt System Requirements
 4 GB, NVIDIA GeForce 8500 GT , Intel Core i3-3225 , 0 MB, Windows 7 64-Bit or later,The Last Front System Requirements
2 MB,NVIDIA GeForce 510,Intel Atom Z515,500 MB,Ubuntu or equivalent,Colony Prospector System Requirements
 512 MB, ATI FireGL T2-128 , Intel Atom Z515 , 11 MB, Windows XP or above,God Vs Zombies System Requirements
2 GB,NVIDIA GeForce 7200 GS,Intel Core 2 Duo Q6867,500 MB,Most 32-bit and 64-bit Linux OS Variants,Pivot XL System Requirements
2 GB,NVIDIA GeForce 7200 GS,Intel Core 2 Duo Q6867,500 MB,Most 32-bit and 64-bit Linux OS Variants,Righty Tighty XL System Requirements
 4 GB, AMD Radeon RX 470 , Intel Core i3-6100 , 2 GB, Windows 8.1,Supermarket VR and mini-games System Requirements
 1 GB, AMD Radeon R5 M230 , Intel Core i5-4400E , 2 GB, win8,Distant castle System Requirements
 4 GB, NVIDIA GeForce GTX 970 , Intel Core i5-4690K , 5 GB, Windows 7 or higher,Vertigo 2 System Requirements
 3 GB, AMD Radeon HD 5450 , Intel Core i3-2340UE , 900 MB, Windows 7+,Super Animal Royale System Requirements
 4 GB, AMD Radeon HD 5450 , Intel Pentium 4 2.00GHz , 8 GB, Windows 10,Gravity Well System Requirements
 2 GB, Intel Media Accelerator 500 , Intel Pentium 4 2.00GHz , 3 GB, Windows 7,Hipster Cafe System Requirements
 4 GB, NVIDIA GeForce GTX 970 , Intel Core i5-4590 , 8 GB," Windows 7, 8 or 10","Orb Labs, Inc. System Requirements"
